id	descendant
0000234	0000197
0000234	0000198
0000234	0000205
0000234	0000214
0000234	0000216
0000234	0000222
0000234	0000223
0000234	0000224
0000234	0000227
0000234	0000234
0000234	0000242
0000234	0000245
0000234	0000250
0000234	0000264
0000234	0000265
0000234	0000267
0000234	0000273
0000234	0000277
0000234	0000287
0000234	0000290
0000234	0000292
0000234	0000295
0000234	0000301
0000234	0000306
0000234	0000309
0000234	0000315
0000234	0000317
0000234	0000320
0000234	0000321
0000234	0000326
0000234	0000339
0000234	0000346
0000234	0000350
0000234	0000383
0000234	0000417
0000234	0000419
0000234	0000420
0000234	0000422
0000234	0000429
0000234	0000433
0000234	0000434
0000234	0000447
0000234	0000451
0000234	0000454
0000234	0000502
0000234	0000503
0000234	0000564
0000234	0000599
0000234	0000606
0000234	0000607
0000234	0000620
0000234	0000630
0000234	0000652
0000234	0000658
0000234	0000661
0000234	0000675
0000234	0000676
0000234	0000683
0000234	0000690
0000234	0000694
0000234	0000700
0000234	0000706
0000234	0000929
0000234	0000930
0000234	0000931
0000234	0000932
0000234	0000933
0000234	0000996
0000234	0001043
0000234	0001092
0000234	0001096
0000234	0001106
0000234	0001126
0000234	0001128
0000234	0001136
0000234	0001144
0000234	0001491
0000234	0001571
0000234	0001593
0000234	0001742
0000234	0001965
0000234	0002009
0000234	0002010
0000234	0002054
0000234	0002055
0000234	0002056
0000242	0000242
0000245	0000245
0000250	0000250
0000264	0000264
0000264	0000265
0000265	0000265
0000267	0000267
0000273	0000273
0000277	0000277
0000287	0000287
0000290	0000290
0000290	0000350
0000290	0000599
0000290	0002056
0000292	0000292
0000295	0000295
0000301	0000301
0000301	0000317
0000306	0000306
0000309	0000309
0000309	0000383
0000315	0000315
0000315	0000502
0000315	0000503
0000315	0000564
0000315	0000620
0000315	0000652
0000315	0000658
0000315	0000661
0000315	0001092
0000315	0001096
0000315	0001126
0000315	0001128
0000315	0001144
0000315	0001491
0000317	0000317
0000320	0000320
0000321	0000321
0000326	0000326
0000326	0002010
0000339	0000339
0000346	0000346
0000350	0000350
0000357	0000357
0000359	0000359
0000359	0000375
0000359	0000376
0000359	0001756
0000359	0001757
0000370	0000370
0000370	0000371
0000370	0000381
0000371	0000371
0000372	0000372
0000375	0000375
0000375	0000376
0000376	0000376
0000381	0000381
0000383	0000383
0000394	0000394
0000395	0000395
0000417	0000417
0000419	0000419
0000419	0000420
0000420	0000420
0000422	0000422
0000429	0000429
0000429	0000454
0000433	0000433
0000433	0000434
0000434	0000434
0000447	0000447
0000451	0000451
0000454	0000454
0000466	0000466
0000468	0000468
0000471	0000471
0000472	0000472
0000479	0000479
0000479	0000493
